place_id,name,address,lat,lng
ChIJociPyR3_AjQRBjlHgi49V-A,广州仁爱天河医院,"108 Tian He Lu, Tian He Qu, Guang Zhou Shi",23.133454,113.317797
ChIJ7b2BjEDmAjQRJDZQsUgHCcY,Guangzhou Hospital of Integrated Traditional and Western Medicine,"新都大道67号, Ying Bin Da Dao, Hua Du Qu, Guang Zhou Shi",23.401531,113.216944
ChIJnyzKNFf-AjQRii-pRc5i9gI,佳美口腔,"613 Tian He Bei Lu, Tian He Qu, Guang Zhou Shi",23.141771,113.340921
ChIJk3--Qdf6AjQR9SSH0NiV9RQ,No.2 People's Hospital of Baiyun,"76FM+8VW, 江同路, Jiang Tong Lu, Bai Yun Qu, Guang Zhou Shi",23.2733606,113.2346982
ChIJcxP9IsD8AjQRaNz-qtfPXRc,Guangzhou Dongren Hospital Out-patient Department,"68X7+R36, Dong Ping Da Dao, Bai Yun Qu, Guang Zhou Shi",23.2495365,113.3126372
ChIJceHK7YjgAjQR3mT5RHC7tKU,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
ChIJjbtioGlHAzQRiTgUAfs60-0,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
ChIJScjBgDH-AjQRgHeGTqL3mv8,Guangzhou Nanguo Medical Treatment Out-patient Department,"上社横街自编3, Shang She Kou Gang Xin Da Jie, Tian He Qu, Guang Zhou Shi",23.133971,113.36776
ChIJn9V45kH-AjQR70eoznwLq1k,Wushanjie Yuezhou Community Health Service Station,"39 Yue Zhou Lu, Tian He Qu, Guang Zhou Shi",23.152268,113.353735
ChIJK5m3dOH-AjQRyDfecYPILQ8,Guangzhou Guanghua Orthopaedics Out-patient Department,"1162 Guang Zhou Da Dao Zhong, Tian He Qu, Guang Zhou Shi",23.139443,113.315411
ChIJQUp_fVP-AjQRhZwfFkbP5vY,中山大学附属第三医院-肠道病门诊,"天河路600号中山大学附属第三医院, Tian He Qu, Guang Zhou Shi",23.1347,113.340698
ChIJS8Lf3jb-AjQRQvJde6vxQhc,南方医科大学第三附属医院-感染科,"中山大道西183号, Tian He Qu, Guang Zhou Shi",23.137468,113.362713
ChIJodebhEkeAzQRegf_R_gGTtc,Zhongluotan Hospital,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068
ChIJxw0elnICAzQR5-em3aIFHtw,天河区柯木塱门诊部,"59VV+47X, 广汕公路, Tian He Qu, Guang Zhou Shi",23.192863,113.393219
