sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
57,31.4085938109257,121.35339258132365,ChIJM_gs9VhtsjURR89GOdi5ivw,56,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179,15888,1460,Community Health Service Center of Yanghang Town,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179
58,31.0828702636237,121.57998608784278,ChIJE7Ir1yZ6sjUR0zhoXvHKZlU,43,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803,14644,1537,Huayang,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803
59,30.93443384906328,121.6488856510971,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,35722,2321,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
60,31.53853082339823,121.79113388513262,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,40274,2343,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
61,31.13147931553221,121.122939891059,ChIJQwNCQM75sjUR8kYiToxA6Sc,59,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905,12704,1125,Huqing Out-patient Department,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905
62,31.62905566667878,121.7098681186364,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,64593,3807,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
63,31.231451747676616,121.38325564458452,ChIJz1xfDvtlsjURB-uLtYwavj0,53,"1479 Tong Pu Lu, Pu Tuo Qu",31.23366499999999,121.361775,3437,594,Xincun Community Health Service Station,"1479 Tong Pu Lu, Pu Tuo Qu",31.23366499999999,121.361775
64,30.855360711363687,121.31406535043362,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,37734,2271,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
65,31.358843642039403,121.52591078511922,ChIJGYicEPhysjURqnzmEP2xUoM,42,"8FMJ+J72, Baoshan",31.334014,121.480628,7233,886,Tangqiao Community Health Service Station,"8FMJ+J72, Baoshan",31.334014,121.480628
66,31.109731586746317,121.45311246169088,ChIJmYhwzpxjsjURRGIJ1smvFtk,41,"49QW+RF5, Wan Yuan Lu, Min Hang Qu",31.1395059,121.3962483,9734,1206,Children's Hospital of Fudan University （East Gate）,"49QW+RF5, Wan Yuan Lu, Min Hang Qu",31.1395059,121.3962483
67,31.784867066245063,121.16341954995757,ChIJc0Fdt49zsjURg9eENcuKYcs,22,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418,111274,7372,Changhai Hospital of Shanghai,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418
68,31.08126808340014,121.76280908306144,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,33989,2065,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
69,30.991742975910125,121.369273952049,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,7969,1187,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
70,30.9791756210262,121.33978136482251,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,11834,1536,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
71,31.21797893653051,121.13295929065788,ChIJ1-3Uf35DsjURyiC-U7qu5rE,9,"85HF+FHF, Jia An Gong Lu, Jia Ding Qu",31.32868029999999,121.1739076,28744,1564,"The Health Station of Qianjin Village, Anting Town","85HF+FHF, Jia An Gong Lu, Jia Ding Qu",31.32868029999999,121.1739076
72,30.771269673783728,121.32683985640293,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,43568,2282,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
73,31.158240443415416,121.53300730504844,ChIJE7Ir1yZ6sjUR0zhoXvHKZlU,43,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803,2299,448,Huayang,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803
74,31.70603410326987,121.419992634181,ChIJc0Fdt49zsjURg9eENcuKYcs,22,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418,87162,5007,Changhai Hospital of Shanghai,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418
75,30.927274461052743,121.7534342526646,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,43947,2386,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
76,31.630216058693783,121.70381564013692,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,63956,3693,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
77,30.9333632906363,121.92296124685696,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,44716,2507,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
78,30.92111462468296,121.0370598970673,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,49972,2576,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
79,31.77427038771312,121.33947983725068,ChIJc0Fdt49zsjURg9eENcuKYcs,22,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418,101036,6210,Changhai Hospital of Shanghai,"168 Chang Hai Lu, Yang Pu Qu",31.309271,121.525418
80,30.877804794939628,121.34519068442248,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,30052,1516,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
