sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
76,23.55599501918104,113.7882746978556,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,11212,975,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
77,23.308469059152745,113.54612773757,ChIJI3DSOZ7iAjQRHIuR_zeImPU,9,"79PJ+JC8, 116省道, Bai Yun Qu, Guang Zhou Shi",23.286537,113.381067,27780,1900,Hospital for Skin Diseases,"79PJ+JC8, 116省道, Bai Yun Qu, Guang Zhou Shi",23.286537,113.381067
78,23.467374102442182,112.97701918768205,ChIJkcw3wfjdAjQR7ba9wD_6h-4,27,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349,39140,2419,Huashan Hospital,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349
79,22.994377945654435,113.35330056927108,ChIJD0-ACEBUAjQRFCrpulHz9PM,25,"28G6+7C5, 105国道, Pan Yu Qu, Guang Zhou Shi",23.025648,113.311099,7382,884,Jialijing,"28G6+7C5, 105国道, Pan Yu Qu, Guang Zhou Shi",23.025648,113.311099
80,23.670089662125573,113.61787904992472,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,21992,2485,从化市中心医院,China,23.549537,113.5846286
81,23.626925827425566,113.77133926252851,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,43436,3680,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
82,23.54478000027193,113.62795143833316,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,5215,1024,从化市中心医院,China,23.549537,113.5846286
83,23.52353371990033,113.35620935785002,ChIJceHK7YjgAjQR3mT5RHC7tKU,51,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706,21467,1697,Huadong Hospital,"C8PJ+378, 中花路, Hua Du Qu, Guang Zhou Shi",23.435154,113.330706
84,23.3626719446846,113.91318497938477,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,24289,1793,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
85,23.36832765400798,113.36613709420747,ChIJodebhEkeAzQRegf_R_gGTtc,58,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068,7505,975,Zhongluotan Hospital,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068
86,23.37067946270886,113.02269241657164,ChIJkcw3wfjdAjQR7ba9wD_6h-4,27,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349,52932,2939,Huashan Hospital,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349
87,23.422920613546264,113.94340656082836,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,29141,2566,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
88,23.30457160331849,113.09861181539743,ChIJcxP9IsD8AjQRaNz-qtfPXRc,50,"68X7+R36, Dong Ping Da Dao, Bai Yun Qu, Guang Zhou Shi",23.2495365,113.3126372,32860,1713,Guangzhou Dongren Hospital Out-patient Department,"68X7+R36, Dong Ping Da Dao, Bai Yun Qu, Guang Zhou Shi",23.2495365,113.3126372
89,22.975199862169355,113.43898834413147,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,22111,1414,Nanfang Comprehensive Out-patient Department,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072
90,23.72485559440725,113.80663843565716,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,50614,4171,从化市中心医院,China,23.549537,113.5846286
