sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s
71,3.540676143337594,-76.59233940658997,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,21782.0,4030.0
72,3.3633103983563,-76.60518852901744,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,12776.0,1735.0
73,3.324878923335695,-76.64998691905842,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,17427.0,2704.0
74,3.333434173271635,-76.66934437507986,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,17427.0,2704.0
75,3.460535039194454,-76.58128403725335,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,7524.0,1110.0
76,3.287496672658508,-76.56296931861698,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,12452.0,1609.0
77,3.420973371315799,-76.69030144619822,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,26867.0,3545.0
78,3.403567321537257,-76.5445981069796,ChIJvUQEAlShMI4RoMfE5l_owWY,13.0,Carrera 65 #9-73,3.3998153,-76.5436526,1478.0,210.0
79,3.384569368908747,-76.6538362586744,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,15634.0,2887.0
80,3.328048397251779,-76.6267511822618,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,14923.0,2226.0
81,3.43012727423775,-76.59592112465363,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,12130.0,1487.0
82,3.489303408379628,-76.52122403857443,ChIJaRHugD-mMI4RfhhpRDDhcBs,3.0,Avenida 2c Norte #24N-120,3.4632635,-76.5230681,3629.0,600.0
83,3.472440140773752,-76.6357540299453,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,19224.0,2404.0
84,3.436162957131395,-76.64776552438278,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,25561.0,3217.0
85,3.445182888548639,-76.619357672107,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,18537.0,2464.0
86,3.407029806655919,-76.57463899208241,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,4445.0,728.0
87,3.397227356305921,-76.52652895916864,ChIJ26fdu06hMI4RuNTJnFjoMPE,52.0,Calle 14 # 65 c 60,3.398593,-76.53250750000001,1311.0,224.0
88,3.427028504068445,-76.61239354071385,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,17315.0,2261.0
89,3.310443095619658,-76.47613734837326,ChIJkw8p-nqhMI4RqhoaK0nBWUw,9.0,"C.C. Unicentro, Paso Ancho #5-169 Local 107",3.3751887,-76.5380328,11680.0,1359.0
90,3.441684325372189,-76.58412798965986,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,14160.0,1924.0
91,3.393898700232031,-76.64289409141499,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,15634.0,2887.0
92,3.485264361319349,-76.56718830302843,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,9616.0,1581.0
93,3.472619852424003,-76.61691099691912,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,15909.0,1863.0
94,3.335403425181648,-76.56040109799862,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,7536.0,1044.0
95,3.448946058733928,-76.48647394457595,ChIJW1s_4qKmMI4RnuRP86vcMsE,51.0,Carrera 39 #8A-09,3.4217383,-76.5391027,7208.0,921.0
96,3.296238005600394,-76.5458617369263,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,9599.0,1254.0
97,3.413346014992743,-76.64415721753285,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,17620.0,2328.0
98,3.342062257580736,-76.50368292295836,ChIJkw8p-nqhMI4RqhoaK0nBWUw,9.0,"C.C. Unicentro, Paso Ancho #5-169 Local 107",3.3751887,-76.5380328,7175.0,1053.0
99,3.471148725677041,-76.5581708614029,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,5067.0,789.0
